ए	A
बी	B
सी	C
डी	D
ई	E
ऍफ़	F
जी	G
एच	H
आई	I
जे	J
के	K
एल	L
ऍम	M
ऍन	N
ओ	O
पी	P
क्यू	Q
आर	R
ऍस	S
टी	T
यू	U
वी	V
डब्ल्यू	W
ऍक्स	X
वाई	Y
ज़ेड	Z
a	A
b	B
c	C
d	D
e	E
f	F
g	G
h	H
i	I
j	J
k	K
l	L
m	M
n	N
o	O
p	P
q	Q
r	R
s	S
t	T
u	U
v	V
w	W
x	X
y	Y
z	Z
